Store,avg_sales,avg_basket_value,competition_distance,comp_distance_bucket,basket_rank_pct,sales_rank_pct,avg_customers,StoreType,customer_rank_pct,sales_rank_pct_within_type
664,4946.3564102564105,8.07135542343216,1680.0,Close,0.2580935251798561,0.17625899280575538,602.4089743589743,d,0.5491329479768786,0.10982658959537572
440,5156.078507078507,8.673896630755458,3900.0,Far,0.37140287769784175,0.2131294964028777,588.9626769626769,d,0.5115606936416185,0.15606936416184972
530,4634.323399558499,6.3881969873394695,18160.0,Very far,0.02877697841726619,0.12140287769784172,750.8057395143488,a,0.5540765391014975,0.16306156405990016
988,4698.071428571428,6.486385262099403,30.0,Very close,0.03507194244604316,0.12769784172661872,722.5076530612245,a,0.5158069883527454,0.17304492512479203
828,5199.946153846154,8.734439986770155,3290.0,Far,0.381294964028777,0.2221223021582734,587.0653846153846,d,0.5057803468208093,0.17341040462427745
127,5238.154093097914,7.816420204632228,1350.0,Close,0.2014388489208633,0.22571942446043167,659.7479935794543,d,0.661849710982659,0.17630057803468208
680,5205.306122448979,6.528777311025471,170.0,Very close,0.03776978417266187,0.2239208633093525,791.0191326530612,c,0.5472972972972973,0.19594594594594594
631,5400.307397959184,8.384017146948615,2870.0,Far,0.322841726618705,0.26798561151079137,638.4413265306123,d,0.6127167630057804,0.21965317919075145
436,5509.484615384616,8.834633755661063,2300.0,Close,0.3920863309352518,0.2886690647482014,616.7410256410257,d,0.569364161849711,0.23410404624277456
419,5311.158163265306,6.165344903309707,1620.0,Close,0.0170863309352518,0.24730215827338128,852.0612244897959,c,0.6216216216216216,0.23648648648648649
597,5080.224646983312,6.941225304726545,150.0,Very close,0.06294964028776978,0.19694244604316546,727.5250320924262,a,0.5174708818635607,0.24792013311148087
